DATE,AMVPNO
1992-02-01,20849
1992-03-01,22506
1992-04-01,23682
1992-05-01,24429
1992-06-01,23625
1992-07-01,25289
1992-08-01,24066
1992-09-01,22838
1992-10-01,23704
1992-11-01,24454
1992-12-01,23654
1993-01-01,24752
1993-02-01,25168
1993-03-01,25290
1993-04-01,25391
1993-05-01,26203
1993-06-01,26002
1993-07-01,24862
1993-08-01,24393
1993-09-01,25746
1993-10-01,27808
1993-11-01,27254
1993-12-01,27955
1994-01-01,29293
1994-02-01,29476
1994-03-01,29384
1994-04-01,29640
1994-05-01,30569
1994-06-01,30483
1994-07-01,31054
1994-08-01,31946
1994-09-01,30463
1994-10-01,30766
1994-11-01,31673
1994-12-01,32951
1995-01-01,31842
1995-02-01,32222
1995-03-01,32249
1995-04-01,31737
1995-05-01,30214
1995-06-01,30760
1995-07-01,29561
1995-08-01,31560
1995-09-01,32619
1995-10-01,31434
1995-11-01,30882
1995-12-01,32726
1996-01-01,30584
1996-02-01,30518
1996-03-01,28855
1996-04-01,32420
1996-05-01,32915
1996-06-01,33698
1996-07-01,34256
1996-08-01,32180
1996-09-01,33719
1996-10-01,31199
1996-11-01,32796
1996-12-01,31352
1997-01-01,33902
1997-02-01,34538
1997-03-01,34091
1997-04-01,35019
1997-05-01,33934
1997-06-01,34067
1997-07-01,37296
1997-08-01,35688
1997-09-01,34830
1997-10-01,35779
1997-11-01,37394
1997-12-01,36673
1998-01-01,33857
1998-02-01,36992
1998-03-01,37183
1998-04-01,36464
1998-05-01,38197
1998-06-01,30475
1998-07-01,30367
1998-08-01,36349
1998-09-01,38416
1998-10-01,39884
1998-11-01,40257
1998-12-01,40047
1999-01-01,41724
1999-02-01,41815
1999-03-01,40959
1999-04-01,40993
1999-05-01,41930
1999-06-01,41545
1999-07-01,39771
1999-08-01,42168
1999-09-01,41794
1999-10-01,42301
1999-11-01,40991
1999-12-01,42080
2000-01-01,43668
2000-02-01,39808
2000-03-01,40749
2000-04-01,40644
2000-05-01,38730
2000-06-01,39915
2000-07-01,38556
2000-08-01,35658
2000-09-01,39880
2000-10-01,37481
2000-11-01,35816
2000-12-01,35999
2001-01-01,33062
2001-02-01,35373
2001-03-01,36913
2001-04-01,35420
2001-05-01,36809
2001-06-01,36055
2001-07-01,35454
2001-08-01,35723
2001-09-01,33450
2001-10-01,34044
2001-11-01,36193
2001-12-01,36656
2002-01-01,37703.0
2002-02-01,36657.0
2002-03-01,36008.0
2002-04-01,41014.0
2002-05-01,40235.0
2002-06-01,39321.0
2002-07-01,40900.0
2002-08-01,41459.0
2002-09-01,39419.0
2002-10-01,40887.0
2002-11-01,40238.0
2002-12-01,36652.0
2003-01-01,41356.0
2003-02-01,40985.0
2003-03-01,40556.0
2003-04-01,39106.0
2003-05-01,39977.0
2003-06-01,40276.0
2003-07-01,42271.0
2003-08-01,39586.0
2003-09-01,43200.0
2003-10-01,42676.0
2003-11-01,42229.0
2003-12-01,41514.0
2004-01-01,40988.0
2004-02-01,42565.0
2004-03-01,43759.0
2004-04-01,41723.0
2004-05-01,40487.0
2004-06-01,40913.0
2004-07-01,37495.0
2004-08-01,40911.0
2004-09-01,40793.0
2004-10-01,39620.0
2004-11-01,40812.0
2004-12-01,41773.0
2005-01-01,41848.0
2005-02-01,41581.0
2005-03-01,38411.0
2005-04-01,42416.0
